Training Method,Total Samples,Has Precomputed Metrics,Models Found,Target WER Mean,Target WER Std,Target WER Median,Target CER Mean,Target CER Std,Target CER Median,Win Target Closer Rate,Ended by EOS Rate,Hit Max Token Rate
Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_23,1107,True,6,0.6187310178924836,1.3407875589032523,0.3684210526315789,0.524642670725556,1.1611096754789805,0.31550343249427915,5.374887082204156,0.0,6.0
Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_22,1107,True,9,0.8349905876787618,2.842436004767107,0.2777777777777778,0.774653618297288,3.529946993335763,0.22448979591836735,7.872628726287263,0.0,8.8130081300813
Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_24,477,True,17,0.901466090010409,2.3283991822971672,0.5,0.6345994778114187,1.451799868304763,0.36363636363636365,13.69182389937107,0.0,17.0
stage17_checkpoints,4770,True,1,1.0177653786588305,1.9282358385973821,0.7142857142857143,0.7813659778567391,1.6391753626368273,0.49278499278499277,0.6538784067085954,0.8639412997903564,0.1360587002096436
Stage_17_aug_futo_wer_rank32_dora_dyn_ctx_chkpts_small_en_25,4770,True,6,1.0215963973934563,2.0227201120085496,0.6666666666666666,0.7826060258722188,1.6680489300791534,0.48,3.9431865828092243,4.619706498951782,1.3027253668763104
Stage_17_aug_futo_wer_rank64_dora_dyn_ctx_chkpts_small_en_26,4770,True,23,1.281725946952213,3.514550990041616,0.45,0.9161260986146691,2.4879725853108403,0.34375,2.1174004192872116,0.0,2.6144654088050316
Stage_17_no_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_17_merged,616,True,7,1.3248196862339308,2.9814098491221577,0.631578947368421,1.0259538187171622,2.2303063450963823,0.48,5.9772727272727275,4.3896103896103895,2.6103896103896105
Stage_17_no_augmentation_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_16,616,True,3,1.6220156078897914,2.96578078722192,0.5454545454545454,1.3669204784257467,2.591997126642315,0.41508800452392736,2.616883116883117,1.7581168831168832,1.2418831168831168
Stage_17_aug_openai_wer_lora_dyn_ctx_qat6_0_chkpts_tiny_en_19,1500,True,29,1.7840370545149822,2.8836497790926923,0.7692307692307693,1.3220119831224015,2.083735334121289,0.6029411764705882,10.592,10.612,3.888
Stage_17_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_18,1386,True,29,2.225053835779326,7.6738769675346195,0.6666666666666666,2.167642270265008,9.242253013988334,0.5066666666666667,10.132034632034632,7.725108225108225,5.163780663780663
Stage_17_shuffle_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_15,1386,True,5,2.263270728954601,3.370468335867861,0.7058823529411765,1.9283150400087024,2.9682594500596386,0.5294117647058824,4.085858585858586,2.6392496392496394,2.3607503607503606
Stage_17_no_aug_openai_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_16,616,True,7,2.365343013421058,3.5468825305509784,0.5882352941176471,2.0564729073374046,3.212085800718233,0.44912747707778766,6.047077922077922,3.659090909090909,3.340909090909091
Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx6,7050,False,11,2.3921134559806494,3.188784931180009,0.8823529411764706,1.9722199149470063,2.702329105909248,0.685,0.0,0.0,0.0
Stage_17_shuffle_wer_acft_checkpoints_partialctx_tiny_en_14,2781,True,5,2.6705273895116384,4.435871186273785,0.8,2.1719323625723166,3.3978510093622782,0.6190476190476191,3.997123336929162,2.556274721323265,2.443725278676735
Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_12,750,True,7,2.9542303570369595,2.978231844548025,1.0,2.311061579794844,2.4304307951492117,0.885933806146572,6.249333333333333,3.3786666666666667,3.6213333333333333
Stage_18_shuffle_n_ctx_stage_7_checkpoints_partialctx_tiny_en_11,150,True,8,3.4302228057889823,2.4420450186070943,4.117647058823529,3.4109250017455666,2.6230361843263346,3.806451612903226,6.906666666666666,2.44,5.56
Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_8,1377,True,11,4.197948692364336,4.429972818567877,2.1025641025641026,3.644582093430791,3.6316808196842345,2.6233766233766236,7.798111837327523,3.0798838053740014,7.920116194625998
Stage_17_aug_futo_wer_dora_dyn_ctx_qat6_0_chkpts_tiny_en_20,1386,True,17,6.6934409723758135,14.415904227960098,1.0,6.8077388984640885,17.897162046919092,0.9142857142857143,12.772727272727273,8.155844155844155,8.844155844155845
Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_tiny_en_21,2781,True,8,10.780439570889591,18.236345710280784,5.944444444444445,10.537245118440723,24.66863937862525,4.238095238095238,5.690039554117224,1.9374325782092772,6.062567421790723
