"run_folder","repo_id","status","file_count","upload_bytes","deleted_bytes","revision","note"
"RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-2","Sri-Harsha-Guthikonda/whisper-acft-s-legacy-unk-eval-only-2-88c4af3f91","uploaded","1","297624616","297624616","209ffb95565263124469967805e0c05171baf054",""
"RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-unk","Sri-Harsha-Guthikonda/whisper-acft-s-legacy-unk-eval-only-unk-7b031b6cae","uploaded","1","297624168","297624168","0ace663b68701dc121eb4d3bf9b9b3fcd519bef5",""
"RUN__k-misc__s-legacy__b-unk__m-unk__a-unk__q-unk__c-unk__r-unk__id-unk","Sri-Harsha-Guthikonda/whisper-acft-s-legacy-unk-unk-unk-f71e2d1797","uploaded","1","77691730","77691730","370d38dec13d4299bc84f53b13a9278d28706df0",""
"RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r64-a32__q-qat__c-dyn__r-161297__id-26","Sri-Harsha-Guthikonda/whisper-acft-s-17-futo-small-en-s17-qat-dora-26-f3d0979867","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r8-a16__q-qat__c-dyn__r-148296__id-22","Sri-Harsha-Guthikonda/whisper-acft-s-17-futo-small-en-s17-qat-dora-22-065c5e1164","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-17__b-futo-tiny-en__m-s17-qat-dora__a-dora-runk-aunk__q-qat__c-dyn__r-148296__id-20","Sri-Harsha-Guthikonda/whisper-acft-s-17-futo-tiny-en-s17-qat-dora-20-9665f8214e","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-full__a-full__q-noqat__c-dyn__r-46760__id-14","Sri-Harsha-Guthikonda/whisper-acft-s-17-openai-tiny-en-s17-full-14-4f7fb03816","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-28948__id-16","Sri-Harsha-Guthikonda/whisper-acft-s-17-openai-tiny-en-s17-qat-full-16-f24ebe2d06","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-28948__id-16__u-1","Sri-Harsha-Guthikonda/whisper-acft-s-17-openai-tiny-en-s17-qat-full-16-fa9cd29ad5","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-38560__id-15","Sri-Harsha-Guthikonda/whisper-acft-s-17-openai-tiny-en-s17-qat-full-15-0f1576b3ed","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-112987__id-8","Sri-Harsha-Guthikonda/whisper-acft-s-18-futo-tiny-en-s18-full-8-9963936893","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-26059__id-12","Sri-Harsha-Guthikonda/whisper-acft-s-18-futo-tiny-en-s18-full-12-aab505f573","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-18__b-openai-tiny-en__m-s18-full__a-full__q-noqat__c-static__r-34259__id-11","Sri-Harsha-Guthikonda/whisper-acft-s-18-openai-tiny-en-s18-full-11-a681b662e0","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-eval__s-legacy__b-unk__m-unk__a-full__q-unk__c-unk__r-unk__id-unk","Sri-Harsha-Guthikonda/whisper-acft-s-legacy-unk-unk-unk-6ba27f4a41","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
"RUN__k-train-only__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-26059__id-13","Sri-Harsha-Guthikonda/whisper-acft-s-18-futo-tiny-en-s18-full-13-d8fdd4e3c2","error","0","0","0","","The property 'Sum' cannot be found on this object. Verify that the property exists."
