"run_folder","repo_id","status","file_count","upload_bytes","deleted_bytes","revision","note"
"RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-2","Sri-Harsha-Guthikonda/whisper-acft-s-legacy-unk-eval-only-2-88c4af3f91","pointer_only_no_local_files","0","0","0","209ffb95565263124469967805e0c05171baf054","Local model files absent; pointer generated from existing remote repo"
"RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-unk","Sri-Harsha-Guthikonda/whisper-acft-s-legacy-unk-eval-only-unk-7b031b6cae","pointer_only_no_local_files","0","0","0","0ace663b68701dc121eb4d3bf9b9b3fcd519bef5","Local model files absent; pointer generated from existing remote repo"
"RUN__k-misc__s-legacy__b-unk__m-unk__a-unk__q-unk__c-unk__r-unk__id-unk","Sri-Harsha-Guthikonda/whisper-acft-s-legacy-unk-unk-unk-f71e2d1797","pointer_only_no_local_files","0","0","0","370d38dec13d4299bc84f53b13a9278d28706df0","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r64-a32__q-qat__c-dyn__r-161297__id-26","Sri-Harsha-Guthikonda/whisper-acft-s-17-futo-small-en-s17-qat-dora-26-f3d0979867","pointer_only_no_local_files","0","0","0","d7442f42e478a30fe6190d729bee8de116fab7aa","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r8-a16__q-qat__c-dyn__r-148296__id-22","Sri-Harsha-Guthikonda/whisper-acft-s-17-futo-small-en-s17-qat-dora-22-065c5e1164","pointer_only_no_local_files","0","0","0","b7ad2ca4b9547afed4449599301de6d6564b6a51","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-17__b-futo-tiny-en__m-s17-qat-dora__a-dora-runk-aunk__q-qat__c-dyn__r-148296__id-20","Sri-Harsha-Guthikonda/whisper-acft-s-17-futo-tiny-en-s17-qat-dora-20-9665f8214e","pointer_only_no_local_files","0","0","0","1224cc50f054153fe5c6d66617410b89063aecbc","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-full__a-full__q-noqat__c-dyn__r-46760__id-14","Sri-Harsha-Guthikonda/whisper-acft-s-17-openai-tiny-en-s17-full-14-4f7fb03816","pointer_only_no_local_files","0","0","0","1ce440867b492f2267a9e15b871be01210426e07","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-28948__id-16","Sri-Harsha-Guthikonda/whisper-acft-s-17-openai-tiny-en-s17-qat-full-16-f24ebe2d06","pointer_only_no_local_files","0","0","0","1333671ab45411f8444a86e8675153993317f77d","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-28948__id-16__u-1","Sri-Harsha-Guthikonda/whisper-acft-s-17-openai-tiny-en-s17-qat-full-16-fa9cd29ad5","pointer_only_no_local_files","0","0","0","fa6e669a33fca2723b74e0d37b6e827d4b6c9965","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-38560__id-15","Sri-Harsha-Guthikonda/whisper-acft-s-17-openai-tiny-en-s17-qat-full-15-0f1576b3ed","pointer_only_no_local_files","0","0","0","a4ce11b5bb9b1dec25a73a4a7195dae3f40cdc0b","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-112987__id-8","Sri-Harsha-Guthikonda/whisper-acft-s-18-futo-tiny-en-s18-full-8-9963936893","pointer_only_no_local_files","0","0","0","5300c9ccd126d403f53d06b93bee58b8fcdeee48","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-26059__id-12","Sri-Harsha-Guthikonda/whisper-acft-s-18-futo-tiny-en-s18-full-12-aab505f573","pointer_only_no_local_files","0","0","0","7052241058c1dc7d3fe653afb65014d9c0b07614","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-18__b-openai-tiny-en__m-s18-full__a-full__q-noqat__c-static__r-34259__id-11","Sri-Harsha-Guthikonda/whisper-acft-s-18-openai-tiny-en-s18-full-11-a681b662e0","pointer_only_no_local_files","0","0","0","808d3ab4df2c83344b939dc4cda1e670225b2d20","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-eval__s-legacy__b-unk__m-unk__a-full__q-unk__c-unk__r-unk__id-unk","Sri-Harsha-Guthikonda/whisper-acft-s-legacy-unk-unk-unk-6ba27f4a41","pointer_only_no_local_files","0","0","0","26edc9fd05428488db0453853abde5c82b06e56c","Local model files absent; pointer generated from existing remote repo"
"RUN__k-train-only__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-26059__id-13","Sri-Harsha-Guthikonda/whisper-acft-s-18-futo-tiny-en-s18-full-13-d8fdd4e3c2","pointer_only_no_local_files","0","0","0","9de1707880b5b30484f0c055849af27de48a3afe","Local model files absent; pointer generated from existing remote repo"
