"original_path","new_path","status","details"
"I:\checkpoints_partialctx_26_checkpoints","I:\RUN__k-train-eval__s-legacy__b-unk__m-unk__a-full__q-unk__c-unk__r-unk__id-unk","already_renamed","new exists and old is junction alias"
"I:\checkpoints_partialctx_with_word_training","I:\RUN__k-misc__s-legacy__b-unk__m-unk__a-unk__q-unk__c-unk__r-unk__id-unk","already_renamed","new exists and old is junction alias"
"I:\Dynamic_n_ctx_checkpoints_partialctx","I:\RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-unk","already_renamed","new exists and old is junction alias"
"I:\Dynamic_n_ctx_checkpoints_partialctx2","I:\RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-2","already_renamed","new exists and old is junction alias"
"I:\Dynamic_n_ctx_checkpoints_partialctx3","I:\RUN__k-eval-only__s-legacy__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-3","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_22","I:\RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r8-a16__q-qat__c-dyn__r-148296__id-22","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_23","I:\RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r8-a8__q-qat__c-dyn__r-148296__id-23","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_small_en_24","I:\RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r16-a16__q-qat__c-dyn__r-161297__id-24","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_chkpts_tiny_en_21","I:\RUN__k-train-eval__s-17__b-futo-tiny-en__m-s17-qat-dora__a-dora-runk-aunk__q-qat__c-dyn__r-148296__id-21","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_futo_wer_dora_dyn_ctx_qat6_0_chkpts_tiny_en_20","I:\RUN__k-train-eval__s-17__b-futo-tiny-en__m-s17-qat-dora__a-dora-runk-aunk__q-qat__c-dyn__r-148296__id-20","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_futo_wer_rank32_dora_dyn_ctx_chkpts_small_en_25","I:\RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r32-a16__q-qat__c-dyn__r-161297__id-25","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_futo_wer_rank64_dora_dyn_ctx_chkpts_small_en_26","I:\RUN__k-train-eval__s-17__b-futo-small-en__m-s17-qat-dora__a-dora-r64-a32__q-qat__c-dyn__r-161297__id-26","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_18","I:\RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-lora__a-lora__q-qat__c-dyn__r-143588__id-18","already_renamed","new exists and old is junction alias"
"I:\Stage_17_aug_openai_wer_lora_dyn_ctx_qat6_0_chkpts_tiny_en_19","I:\RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-lora__a-lora__q-qat__c-dyn__r-143588__id-19","already_renamed","new exists and old is junction alias"
"I:\Stage_17_no_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_17","I:\RUN__k-train-only__s-17__b-openai-tiny-en__m-s17-qat-lora__a-lora__q-qat__c-dyn__r-28948__id-17","already_renamed","new exists and old is junction alias"
"I:\Stage_17_no_aug_openai_wer_acft_lora_qat6_0_chkpts_tiny_en_17_merged","I:\RUN__k-eval-only__s-17__b-openai-tiny-en__m-eval-only__a-unk__q-unk__c-unk__r-unk__id-unk","already_renamed","new exists and old is junction alias"
"I:\Stage_17_no_aug_openai_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_16","I:\RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-28948__id-16","already_renamed","new exists and old is junction alias"
"I:\Stage_17_no_augmentation_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_16","I:\RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-28948__id-16__u-1","already_renamed","new exists and old is junction alias"
"I:\Stage_17_shuffle_wer_acft_checkpoints_partialctx_tiny_en_14","I:\RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-full__a-full__q-noqat__c-dyn__r-46760__id-14","already_renamed","new exists and old is junction alias"
"I:\Stage_17_shuffle_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_15","I:\RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-38560__id-15","already_renamed","new exists and old is junction alias"
"I:\Stage_18_shuffle_checkpoints_partialctx_tiny_en_13","I:\RUN__k-train-only__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-26059__id-13","already_renamed","new exists and old is junction alias"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_12","I:\RUN__k-train-eval__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-26059__id-12","already_renamed","new exists and old is junction alias"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_7","I:\RUN__k-partial__s-18__b-futo-tiny-en__m-s18-full__a-unk__q-noqat__c-dyn__r-112987__id-7","already_renamed","new exists and old is junction alias"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_8","I:\RUN__k-train-eval__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-112987__id-8","already_renamed","new exists and old is junction alias"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx4","I:\RUN__k-eval-only__s-18__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-4","already_renamed","new exists and old is junction alias"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx5","I:\RUN__k-eval-only__s-18__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-5","already_renamed","new exists and old is junction alias"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx6","I:\RUN__k-eval-only__s-18__b-unk__m-eval-only__a-unk__q-noqat__c-dyn__r-56098__id-6","already_renamed","new exists and old is junction alias"
"I:\Stage_18_shuffle_Dynamic_n_ctx_stage_7_9_checkpoints_partialctx_tiny_en_9","I:\RUN__k-train-only__s-18__b-futo-tiny-en__m-s18-full__a-unk__q-noqat__c-dyn__r-34259__id-9","already_renamed","new exists and old is junction alias"
