file,score,decision,reason
I:\Record_chunks\New recording 140_sent0166.wav,0.906213,TARGET,
I:\Record_chunks\Generalized anxiety disorder_sent0102.wav,0.901708,TARGET,
I:\Record_chunks\Meningitis Prophylaxis _sent0128.wav,0.893433,TARGET,
I:\Record_chunks\New recording 426_sent0131.wav,0.892883,TARGET,
I:\Record_chunks\New recording 48_sent0148.wav,0.888812,TARGET,
I:\Record_chunks\New recording 155_sent0101.wav,0.886211,TARGET,
I:\Record_chunks\New recording 33_sent0124.wav,0.882578,TARGET,
I:\Record_chunks\New recording 134_sent0165.wav,0.881256,TARGET,
I:\Record_chunks\ankylosing spondylitis_sent0190.wav,0.876748,TARGET,
I:\Record_chunks\Antibiotic request traveling to Thailand_sent0088.wav,0.873634,TARGET,
"I:\Record_chunks\Breaking bad news, second stroke, palliative_sent0003.wav",0.872716,TARGET,
I:\Record_chunks\New recording 134_sent0191.wav,0.872382,TARGET,
I:\Record_chunks\New recording 489_sent0113.wav,0.871338,TARGET,
I:\Record_chunks\New recording 168_sent0026.wav,0.871058,TARGET,
I:\Record_chunks\New recording 168_sent0052.wav,0.870938,TARGET,
I:\Record_chunks\New recording 113_sent0090.wav,0.868521,TARGET,
I:\Record_chunks\New recording 15_sent0063.wav,0.86657,TARGET,
I:\Record_chunks\Meningitis Prophylaxis _sent0078.wav,0.864967,TARGET,
I:\Record_chunks\New recording 271_sent0172.wav,0.864621,TARGET,
I:\Record_chunks\Attention deficit hyperactivity disorder._sent0031.wav,0.863829,TARGET,
I:\Record_chunks\New recording 460_sent0074.wav,0.862654,TARGET,
I:\Record_chunks\New recording 129_sent0144.wav,0.86118,TARGET,
I:\Record_chunks\New recording 159_sent0086.wav,0.860417,TARGET,
I:\Record_chunks\Genital herpes_sent0043.wav,0.860217,TARGET,
I:\Record_chunks\New recording 483_sent0139.wav,0.860215,TARGET,
I:\Record_chunks\New recording 493_sent0092.wav,0.860137,TARGET,
I:\Record_chunks\Antibiotic request traveling to Thailand_sent0121.wav,0.85943,TARGET,
I:\Record_chunks\Minor emergency contraception._sent0030.wav,0.858723,TARGET,
I:\Record_chunks\New recording 436_sent0038.wav,0.858593,TARGET,
I:\Record_chunks\Minor emergency contraception._sent0054.wav,0.857805,TARGET,
I:\Record_chunks\New recording 495_sent0156.wav,0.856757,TARGET,
I:\Record_chunks\New recording 36_sent0163.wav,0.85589,TARGET,
I:\Record_chunks\New recording 451_sent0218.wav,0.855709,TARGET,
I:\Record_chunks\New recording 475_sent0145.wav,0.855049,TARGET,
I:\Record_chunks\neonatal jaundice_sent0001.wav,0.854093,TARGET,
I:\Record_chunks\New recording 463_sent0114.wav,0.853466,TARGET,
I:\Record_chunks\New recording 450_sent0215.wav,0.853425,TARGET,
I:\Record_chunks\New recording 434_sent0110.wav,0.852656,TARGET,
I:\Record_chunks\New recording 490_sent0039.wav,0.852473,TARGET,
I:\Record_chunks\New recording 117_sent0002.wav,0.851656,TARGET,
I:\Record_chunks\New recording 451_sent0150.wav,0.850775,TARGET,
I:\Record_chunks\New recording 415_sent0137.wav,0.850707,TARGET,
